National_Administrator,Account_Type,Account_Holder_Name,Installation/Aircraft_ID,Installation_Name/Aircraft_Operator_Code,Company_Regustration_No,Permit/Plan_ID,Permit/Plan_Date,Main_Activity_Type,Latest_Copmliance_Code
Austria,Operator Holding Account,GA Immobilien GmbH,106,Glanzstoff St. Pölten,FN 114787 f,ICH105,2005-01-25,Combustion installations with a rated thermal input exceeding 20 MW,A
Austria,Operator Holding Account,Cogeneration-Kraftwerke Management Oberösterreich GmbH,83,CMOÖ GuD Anlage Laakirchen,FN 90934 b,IPA102,2005-04-14,Combustion of fuels,A
Austria,Operator Holding Account,Zementwerk Hatschek GmbH,31,Zementwerk Hatschek GmbH,FN 160460 x,IZE077,2004-01-01,Production of cement clinker,A
Austria,Operator Holding Account,F.M. Hämmerle Textil Produktion und Vertrieb GmbH,37,F.M. Hämmerle Dornbirn,FN 334036 f,ICH203,2004-01-02,Combustion installations with a rated thermal input exceeding 20 MW,C
Austria,Operator Holding Account,Energie Steiermark Wärme GmbH,108,Energie Steiermark - FHKW Thondorf,FN 57546 b,EFE038,2004-01-01,Combustion of fuels,A
Austria,Operator Holding Account,FunderMax GmbH,5,FunderMax Wr. Neudorf,FN 90081 y,ICH113,2004-01-02,Combustion of fuels,A
Austria,Operator Holding Account,Ziegelwerk Danreiter GmbH & Co KG,3,Ziegelwerk Danreiter Ried im Innkreis,FN 18162 i,IZI155,2004-01-01,Manufacture of ceramics,A
Austria,Operator Holding Account,Patheon Austria GmbH & CoKG,59,DSM Fine Chemicals Austria Linz,FN 200540 m,ICH112,2006-03-29,Combustion of fuels,A
Austria,Operator Holding Account,Metadynea Austria GmbH,53,Metadynea Austria - Krems,FN 189206 w,ICH108,2005-08-08,Production of bulk chemicals,A
Austria,Operator Holding Account,M. Kaindl GmbH,69,Kaindl Holzindustrie Wals,FN567823i,IHO192,2004-01-01,Combustion of fuels,A
Austria,Operator Holding Account,Wienerberger Österreich GmbH,4,Wienerberger Blindenmarkt,FN 94684 t,IZI146-1,2004-01-02,"Installations for the manufacture of ceramic products by firing, in particular roofing tiles, bricks, refractory bricks, tiles, stoneware or porcelain",C
Austria,Operator Holding Account,Energie AG Oberösterreich Erzeugung GmbH,76,KW Timelkam III,FN 291377 x,EEW003,2004-01-02,Combustion of fuels,A
Austria,Operator Holding Account,Energie AG Oberösterreich Erzeugung GmbH,78,Energie AG OÖ HKW Kirchdorf,FN 291377 x,EFE017,2004-01-02,Combustion of fuels,A
Austria,Operator Holding Account,Energie AG Oberösterreich Erzeugung GmbH,79,Energie AG Kraftwerk Riedersbach,FN 291377 x,EEW001,2004-01-01,Combustion of fuels,A
Austria,Operator Holding Account,Kirchdorfer Zementwerk Hofmann GmbH,91,Kirchdorfer Zementwerk Hofmann GmbH,FN 121253 p,IZE074,2004-01-01,Production of cement clinker,A
Austria,Operator Holding Account,Energie AG Oberösterreich Erzeugung GmbH,80,Energie AG Kraftwerk Timelkam II,FN 291377 x,EEW002,2004-01-01,Combustion of fuels,A
Austria,Operator Holding Account,Energie-Contracting Steyr GmbH,81,ENERGIE-Contracting Steyr GmbH,FN 209561 d,IMS200,2005-04-07,Combustion of fuels,A
Austria,Operator Holding Account,Profibaustoffe Austria GmbH,42,Ernstbrunner Kalktechnik Ernstbrunn,FN 69279 g,IKA118,2005-04-01,"Production of lime, or calcination of dolomite/magnesite",A
Austria,Operator Holding Account,Lafarge Zementwerke GmbH,61,Lafarge Perlmooser Retznei,FN 346878s,IZE073,2004-01-01,Production of cement clinker,A
Austria,Operator Holding Account,WIEN ENERGIE GmbH,18,Wien Energie - FHKW Süd Inzersdorf,FN 215854h,EFE043,2004-12-22,Combustion of fuels,A
